"","policeDistrict","year","month","callFreq"
"214","Southern",2023,3,7
"215","Southern",2023,4,3
"216","Southern",2023,5,5
"217","Southern",2023,6,0
"218","Southern",2023,7,3
"219","Southern",2023,8,1
"220","Southern",2023,9,6
"221","Southern",2023,10,4
"222","Southern",2023,11,8
"223","Southern",2023,12,4
"224","Southern",2024,1,0
"225","Southwestern",2021,6,11
"226","Southwestern",2021,7,8
"227","Southwestern",2021,8,12
"228","Southwestern",2021,9,2
"229","Southwestern",2021,10,8
"230","Southwestern",2021,11,3
"231","Southwestern",2021,12,4
"232","Southwestern",2022,1,2
"233","Southwestern",2022,2,2
"234","Southwestern",2022,3,6
"235","Southwestern",2022,4,1
"236","Southwestern",2022,5,9
"237","Southwestern",2022,6,4
"238","Southwestern",2022,7,4
"239","Southwestern",2022,8,8
"240","Southwestern",2022,9,4
"241","Southwestern",2022,10,3
"242","Southwestern",2022,11,2
"243","Southwestern",2022,12,11
"244","Southwestern",2023,1,8
"245","Southwestern",2023,2,10
"246","Southwestern",2023,3,5
"247","Southwestern",2023,4,6
"248","Southwestern",2023,5,3
"249","Southwestern",2023,6,3
"250","Southwestern",2023,7,3
"251","Southwestern",2023,8,6
"252","Southwestern",2023,9,8
"253","Southwestern",2023,10,6
"254","Southwestern",2023,11,8
"255","Southwestern",2023,12,4
"256","Southwestern",2024,1,0
"257","Western",2021,6,3
"258","Western",2021,7,9
"259","Western",2021,8,8
"260","Western",2021,9,7
"261","Western",2021,10,5
"262","Western",2021,11,5
"263","Western",2021,12,1
"264","Western",2022,1,2
"265","Western",2022,2,2
"266","Western",2022,3,2
"267","Western",2022,4,6
"268","Western",2022,5,4
"269","Western",2022,6,11
"270","Western",2022,7,8
"271","Western",2022,8,5
"272","Western",2022,9,2
"273","Western",2022,10,1
"274","Western",2022,11,4
"275","Western",2022,12,1
"276","Western",2023,1,10
"277","Western",2023,2,6
"278","Western",2023,3,10
"279","Western",2023,4,4
"280","Western",2023,5,2
"281","Western",2023,6,3
"282","Western",2023,7,5
"283","Western",2023,8,4
"284","Western",2023,9,9
"285","Western",2023,10,20
"286","Western",2023,11,6
"287","Western",2023,12,7
"288","Western",2024,1,0
