"","policeDistrict","year","month","callFreq","nParks"
"188","Southeastern",2023,9,4,26
"189","Southeastern",2023,10,6,26
"190","Southeastern",2023,11,5,26
"191","Southeastern",2023,12,2,26
"192","Southeastern",2024,1,1,26
"193","Southern",2021,6,2,41
"194","Southern",2021,7,2,41
"195","Southern",2021,8,3,41
"196","Southern",2021,9,3,41
"197","Southern",2021,10,3,41
"198","Southern",2021,11,2,41
"199","Southern",2021,12,5,41
"200","Southern",2022,1,0,41
"201","Southern",2022,2,3,41
"202","Southern",2022,3,4,41
"203","Southern",2022,4,1,41
"204","Southern",2022,5,4,41
"205","Southern",2022,6,4,41
"206","Southern",2022,7,8,41
"207","Southern",2022,8,4,41
"208","Southern",2022,9,3,41
"209","Southern",2022,10,2,41
"210","Southern",2022,11,3,41
"211","Southern",2022,12,4,41
"212","Southern",2023,1,3,41
"213","Southern",2023,2,3,41
"214","Southern",2023,3,7,41
"215","Southern",2023,4,3,41
"216","Southern",2023,5,5,41
"217","Southern",2023,6,0,41
"218","Southern",2023,7,3,41
"219","Southern",2023,8,1,41
"220","Southern",2023,9,6,41
"221","Southern",2023,10,4,41
"222","Southern",2023,11,8,41
"223","Southern",2023,12,4,41
"224","Southern",2024,1,0,41
"225","Southwestern",2021,6,11,37
"226","Southwestern",2021,7,8,37
"227","Southwestern",2021,8,12,37
"228","Southwestern",2021,9,2,37
"229","Southwestern",2021,10,8,37
"230","Southwestern",2021,11,3,37
"231","Southwestern",2021,12,4,37
"232","Southwestern",2022,1,2,37
"233","Southwestern",2022,2,2,37
"234","Southwestern",2022,3,6,37
"235","Southwestern",2022,4,1,37
"236","Southwestern",2022,5,9,37
"237","Southwestern",2022,6,4,37
"238","Southwestern",2022,7,4,37
"239","Southwestern",2022,8,8,37
"240","Southwestern",2022,9,4,37
"241","Southwestern",2022,10,3,37
"242","Southwestern",2022,11,2,37
"243","Southwestern",2022,12,11,37
"244","Southwestern",2023,1,8,37
"245","Southwestern",2023,2,10,37
"246","Southwestern",2023,3,5,37
"247","Southwestern",2023,4,6,37
"248","Southwestern",2023,5,3,37
"249","Southwestern",2023,6,3,37
"250","Southwestern",2023,7,3,37
"251","Southwestern",2023,8,6,37
"252","Southwestern",2023,9,8,37
"253","Southwestern",2023,10,6,37
"254","Southwestern",2023,11,8,37
"255","Southwestern",2023,12,4,37
"256","Southwestern",2024,1,0,37
"257","Western",2021,6,3,65
"258","Western",2021,7,9,65
"259","Western",2021,8,8,65
"260","Western",2021,9,7,65
"261","Western",2021,10,5,65
"262","Western",2021,11,5,65
"263","Western",2021,12,1,65
"264","Western",2022,1,2,65
"265","Western",2022,2,2,65
"266","Western",2022,3,2,65
"267","Western",2022,4,6,65
"268","Western",2022,5,4,65
"269","Western",2022,6,11,65
"270","Western",2022,7,8,65
"271","Western",2022,8,5,65
"272","Western",2022,9,2,65
"273","Western",2022,10,1,65
"274","Western",2022,11,4,65
"275","Western",2022,12,1,65
"276","Western",2023,1,10,65
"277","Western",2023,2,6,65
"278","Western",2023,3,10,65
"279","Western",2023,4,4,65
"280","Western",2023,5,2,65
"281","Western",2023,6,3,65
"282","Western",2023,7,5,65
"283","Western",2023,8,4,65
"284","Western",2023,9,9,65
"285","Western",2023,10,20,65
"286","Western",2023,11,6,65
"287","Western",2023,12,7,65
"288","Western",2024,1,0,65
