"ID","LST_Day_1km","QC_Day","Day_view_time","Day_view_angl","LST_Night_1km","QC_Night","Night_view_time","Night_view_angl","Emis_31","Emis_32","Clear_day_cov","Clear_night_cov","filename"
7,311.024615384615,64.21875,10.6,-32,NA,2.03125,NA,NA,0.970692307692307,0.976384615384615,1.10523076923077,NA,"2021169090909.hdf"
8,312.026666666667,81,10.6,-32,NA,2,NA,NA,0.976,0.979111111111111,1.50861111111111,NA,"2021169090909.hdf"
9,306.592,73.4705882352941,10.6,-33,NA,2,NA,NA,0.97145,0.977249999999999,1.038225,NA,"2021169090909.hdf"
1,308.102105263158,77.4444444444444,11.3,39,290.413333333333,36.2105263157895,21.7,-35,0.970631578947369,0.976526315789473,1.21823684210526,0.308666666666667,"2021170085704.hdf"
2,307.105,56.2592592592593,11.3,39.5,290.923333333333,58.304347826087,21.7,-34.7777777777778,0.980227272727273,0.981727272727273,0.996181818181818,0.841666666666667,"2021170085704.hdf"
3,309.972727272727,81,11.3,39,291.515,54,21.7,-35,0.970181818181818,0.976,1.70063636363636,0.568125,"2021170085704.hdf"
4,307.236756756757,69,11.3,39,290.093793103448,98.945945945946,21.7,-34.6551724137931,0.971513513513513,0.977351351351351,0.999243243243243,0.673965517241379,"2021170085704.hdf"
5,309.518571428571,81,11.3,39.6428571428571,291.37,42.8571428571429,21.7,-34.25,0.97,0.976,1.00221428571429,0.297375,"2021170085704.hdf"
6,307.131111111111,82.4545454545455,11.3,39.6444444444444,290.47875,46.4444444444444,21.7,-34,0.970444444444444,0.976399999999999,1.21853333333333,0.4391875,"2021170085704.hdf"
7,309.037142857143,67.15625,11.3,40,291.901,79.40625,21.7,-34,0.971241379310345,0.976551724137931,1.32666071428571,0.600725,"2021170085704.hdf"
8,310.935555555556,73.8888888888889,11.3,39.1111111111111,292.46,37,21.7,-34.4,0.975333333333333,0.978444444444444,1.86822222222222,0.7197,"2021170085704.hdf"
9,307.2215,71.8571428571429,11.3,39,289.33625,47.2,21.7,-35,0.9715,0.9772,1.2362625,0.7119375,"2021170085704.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
7,NA,2.03125,NA,NA,NA,2.03125,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021171091106.hdf"
1,308.318947368421,81,11.1,21.4736842105263,NA,2,NA,NA,0.97021052631579,0.976210526315789,0.764078947368421,NA,"2021174153553.hdf"
2,307.623902439024,63.7333333333333,11.1,22.0731707317073,NA,2.04347826086957,NA,NA,0.98,0.981707317073171,0.950804878048781,NA,"2021174153553.hdf"
3,311.36,30.7272727272727,11.1,22,NA,2,NA,NA,0.9705,0.9765,0.48725,NA,"2021174153553.hdf"
4,307.97,10.5405405405405,11.1,21,NA,2,NA,NA,0.971,0.9765,0.581375,NA,"2021174153553.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174153553.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174153553.hdf"
7,310.206666666667,52.375,11.1,22.0952380952381,NA,2.03125,NA,NA,0.972857142857143,0.977714285714286,0.492619047619048,NA,"2021174153553.hdf"
8,310.56,79.2222222222222,11.1,22,NA,2,NA,NA,0.975555555555556,0.979111111111111,0.815333333333333,NA,"2021174153553.hdf"
9,307.418,60.05,11.1,21,NA,2,NA,NA,0.970666666666666,0.9766,0.925383333333333,NA,"2021174153553.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
7,NA,2.03125,NA,NA,NA,2.03125,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174155858.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
7,NA,2.03125,NA,NA,NA,2.03125,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021174192526.hdf"
1,302.257894736842,74.2631578947368,11.6,56.8421052631579,287.41,12.8421052631579,22,-4,0.970947368421053,0.976315789473684,1.99555263157895,0.148,"2021175091644.hdf"
2,301.943720930233,52.8636363636364,11.6,57,NA,2.04347826086957,NA,NA,0.977162790697674,0.975999999999999,1.51653488372093,NA,"2021175091644.hdf"
3,303.514545454545,81,11.6,57,288.16,28,22,-4,0.97,0.976,1.75595454545455,0.0875,"2021175091644.hdf"
4,301.472432432432,73.6857142857143,11.6,57,287.466666666667,66.2972972972973,22,-3.9047619047619,0.971297297297297,0.977135135135135,1.507,0.552309523809524,"2021175091644.hdf"
5,304.672857142857,81,11.6,57,NA,2,NA,NA,0.97,0.976,1.02182142857143,NA,"2021175091644.hdf"
6,301.852444444444,81,11.6,57,287.62,8.35555555555556,22,-3.5,0.970577777777777,0.976488888888888,1.94212222222222,0.237,"2021175091644.hdf"
7,304.506666666667,75.1851851851852,11.6,57,NA,2.03125,NA,NA,0.9728,0.975999999999999,1.38728333333333,NA,"2021175091644.hdf"
8,305.066666666667,81,11.6,57,NA,2,NA,NA,0.973333333333333,0.976,1.87394444444444,NA,"2021175091644.hdf"
9,301.2625,79.1176470588235,11.6,56.4,287.367,59.5,22,-4,0.9719,0.97755,1.6164875,0.50965,"2021175091644.hdf"
1,305.573333333333,87.9473684210526,10.7,-23,NA,2,NA,NA,0.9704,0.976133333333333,0.848433333333333,NA,"2021176120450.hdf"
2,306.166046511628,76.6071428571429,10.7,-22.7441860465116,NA,2.04347826086957,NA,NA,0.979813953488372,0.981395348837209,0.973779069767442,NA,"2021176120450.hdf"
3,308.916666666667,80,10.7,-23,NA,2,NA,NA,0.970666666666667,0.976333333333333,0.52875,NA,"2021176120450.hdf"
4,303.44064516129,93.2702702702703,10.7,-23,286.82,7.10810810810811,22.7,56,0.971806451612903,0.977483870967741,0.780274193548387,0.7515,"2021176120450.hdf"
5,307.964615384615,107.357142857143,10.7,-22.6153846153846,NA,2,NA,NA,0.97,0.976,1.01242307692308,NA,"2021176120450.hdf"
6,306.065333333333,114.422222222222,10.7,-22.5777777777778,NA,2,NA,NA,0.970399999999999,0.976399999999999,0.851866666666667,NA,"2021176120450.hdf"
7,307.91,104.21875,10.7,-22.1923076923077,NA,2.03125,NA,NA,0.970846153846154,0.976461538461538,0.854442307692308,NA,"2021176120450.hdf"
8,309.103333333333,70.6666666666667,10.7,-23,NA,2,NA,NA,0.979,0.981666666666667,0.745166666666667,NA,"2021176120450.hdf"
9,305.264,17.875,10.7,-23,286.82,6.725,22.7,56,0.972857142857143,0.977714285714286,0.3831,0.368333333333333,"2021176120450.hdf"
1,NA,2,NA,NA,292.58,21.2105263157895,21.8,-26,0.971333333333333,0.976666666666667,NA,0.430166666666667,"2021177115945.hdf"
2,NA,2.04347826086957,NA,NA,291.463243243243,63.1521739130435,21.8,-25.4324324324324,0.981297297297298,0.982648648648649,NA,0.689797297297297,"2021177115945.hdf"
3,NA,2,NA,NA,292.59,28,21.8,-25.5,0.97,0.976,NA,0.80025,"2021177115945.hdf"
4,NA,2,NA,NA,291.667777777778,71.5675675675676,21.8,-25.3333333333333,0.97,0.976,NA,0.886666666666667,"2021177115945.hdf"
5,NA,2,NA,NA,292.271111111111,93.9285714285714,21.8,-25,0.97,0.976,NA,0.429166666666667,"2021177115945.hdf"
6,NA,2,NA,NA,291.715833333333,78.2666666666667,21.8,-25,0.97,0.975999999999999,NA,0.895854166666667,"2021177115945.hdf"
