"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/15/2022","AQS","245105253","1","3.2","ug/m3 LC","18","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"01/17/2022","AQS","245105253","1","3.1","ug/m3 LC","17","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"01/18/2022","AQS","245105253","1","5.4","ug/m3 LC","30","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"01/20/2022","AQS","245105253","1","5.1","ug/m3 LC","28","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"01/23/2022","AQS","245105253","1","9.7","ug/m3 LC","52","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"01/26/2022","AQS","245105253","1","5.7","ug/m3 LC","32","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"01/29/2022","AQS","245105253","1","5","ug/m3 LC","28","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/04/2022","AQS","245105253","1","2.7","ug/m3 LC","15","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/07/2022","AQS","245105253","1","6.9","ug/m3 LC","38","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/10/2022","AQS","245105253","1","5.6","ug/m3 LC","31","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/13/2022","AQS","245105253","1","6.5","ug/m3 LC","36","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/16/2022","AQS","245105253","1","10.5","ug/m3 LC","54","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/19/2022","AQS","245105253","1","4.2","ug/m3 LC","23","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/22/2022","AQS","245105253","1","7.9","ug/m3 LC","44","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/25/2022","AQS","245105253","1","2.2","ug/m3 LC","12","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"02/28/2022","AQS","245105253","1","5","ug/m3 LC","28","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/03/2022","AQS","245105253","1","2.6","ug/m3 LC","14","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/09/2022","AQS","245105253","1","3.8","ug/m3 LC","21","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/13/2022","AQS","245105253","1","4.5","ug/m3 LC","25","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/15/2022","AQS","245105253","1","8.7","ug/m3 LC","48","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/18/2022","AQS","245105253","1","7.5","ug/m3 LC","42","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/21/2022","AQS","245105253","1","3.8","ug/m3 LC","21","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/24/2022","AQS","245105253","1","5.2","ug/m3 LC","29","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/27/2022","AQS","245105253","1","1.5","ug/m3 LC","8","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"03/30/2022","AQS","245105253","1","6.4","ug/m3 LC","36","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"04/02/2022","AQS","245105253","1","3.7","ug/m3 LC","21","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"04/05/2022","AQS","245105253","1","6.7","ug/m3 LC","37","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"04/08/2022","AQS","245105253","1","3.6","ug/m3 LC","20","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"04/11/2022","AQS","245105253","1","3.5","ug/m3 LC","19","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"04/20/2022","AQS","245105253","1","3.1","ug/m3 LC","17","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"04/23/2022","AQS","245105253","1","6.7","ug/m3 LC","37","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"04/24/2022","AQS","245105253","1","6.7","ug/m3 LC","37","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
"04/26/2022","AQS","245105253","1","7.1","ug/m3 LC","39","Lake Montebello","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.3374600009252","-76.58905"
